闻喜运城列表,#genre#
闻喜综合,https://www.wxhcgbds.com:8081/channelTv/WXTV_1.flv
闻喜综合,https://www.wxhcgbds.com:8081/channelTv/WXTV_1.m3u8
运城综合,http://192.168.5.1:5277/udp/224.30.30.223:8242
运城综合,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225988/index.m3u8
运城综合,http://live.0359tv.com/lsdream/ss4Lj11/1000/live.m3u8
运城公共,http://192.168.5.1:5277/udp/224.30.30.224:8243
运城公共,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225985/index.m3u8
运城公共,http://live.0359tv.com/lsdream/t667aTY/1000/live.m3u8
运城科教,http://192.168.5.1:5277/udp/224.30.30.225:8244
运城科教,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226044/index.m3u8
运城科教,http://live.0359tv.com/lsdream/p5eq48m/1000/live.m3u8
央视IPTV列表,#genre#
CCTV1综合,http://192.168.5.1:5277/udp/224.30.30.226:8245
CCTV2财经,http://192.168.5.1:5277/udp/224.30.30.1:8020
CCTV3综艺,http://192.168.5.1:5277/udp/224.30.30.121:8140
CCTV4中文国际,http://192.168.5.1:5277/udp/224.30.30.4:8023
CCTV5体育,http://192.168.5.1:5277/udp/224.30.30.122:8141
CCTV5+体育赛事,http://192.168.5.1:5277/udp/224.30.30.5:8024
CCTV6电影,http://192.168.5.1:5277/udp/224.30.30.123:8142
CCTV7国防军事,http://192.168.5.1:5277/udp/224.30.30.2:8021
CCTV8电视剧,http://192.168.5.1:5277/udp/224.30.30.124:8143
CCTV9纪录,http://192.168.5.1:5277/udp/224.30.30.3:8022
CCTV10科教,http://192.168.5.1:5277/udp/224.30.30.17:8036
CCTV11戏曲,http://192.168.5.1:5277/udp/224.30.30.45:8064
CCTV12社会与法,http://192.168.5.1:5277/udp/224.30.30.18:8037
CCTV13新闻,http://192.168.5.1:5277/udp/224.30.30.227:8246
CCTV14少儿,http://192.168.5.1:5277/udp/224.30.30.19:8038
CCTV15音乐,http://192.168.5.1:5277/udp/224.30.30.46:8065
CCTV16奥林匹克,http://192.168.5.1:5277/udp/224.30.30.207:8226
CCTV17农业农村,http://192.168.5.1:5277/udp/224.30.30.148:8167
CCTV1综合,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226032/index.m3u8
CCTV2财经,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226217/index.m3u8
CCTV3综艺,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225885/index.m3u8
CCTV4中文国际,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225958/index.m3u8
CCTV5体育,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226088/index.m3u8
CCTV5+体育赛事,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226199/index.m3u8
CCTV6电影,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225826/index.m3u8
CCTV7国防军事,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226035/index.m3u8
CCTV8电视剧,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225888/index.m3u8
CCTV9纪录,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225961/index.m3u8
CCTV10科教,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226220/index.m3u8
CCTV11戏曲,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225703/index.m3u8
CCTV12社会与法,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225771/index.m3u8
CCTV13新闻,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226041/index.m3u8
CCTV14少儿,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225974/index.m3u8
CCTV15音乐,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225971/index.m3u8
CCTV16奥林匹克,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225949/index.m3u8
CCTV17农业农村,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225706/index.m3u8
