广播电台,#genre#
运城新闻综合广播,https://live.0359tv.com/lsdream/4TTDb6q/500/live.m3u8
运城新闻综合广播,https://lhttp.qingting.fm/live/1190/64k.mp3
运城交通文艺广播,https://live.0359tv.com/lsdream/p3e1Pzg/500/live.m3u8
运城交通文艺广播,https://lhttp.qingting.fm/live/1191/64k.mp3
CNR 中国之声,http://ngcdn001.cnr.cn/live/zgzs/index.m3u8
CRI 环球资讯广播,http://sk.cri.cn/905.m3u8
CNR 经济之声,http://ngcdn002.cnr.cn/live/jjzs/index.m3u8
CNR 音乐之声,http://ngcdn003.cnr.cn/live/yyzs/index.m3u8
CNR 经典音乐广播,http://ngcdn004.cnr.cn/live/dszs/index.m3u8
CRI 怀旧金曲频道,https://lhttp.qingting.fm/live/5022038/64k.mp3
